"name",,tag,car_easy,car_moderate,car_hard,pedestrian_easy,pedestrian_moderate,pedestrian_hard,cyclist_easy,cyclist_moderate,cyclist_hard
"3dssd",,origin,88.6843,79.1325,78.092,,,,,,
"3dssd_cls_confident_point",,origin,88.9734,79.2776,78.263,,,,,,
"3dssd_cls_confident_point",,version1,89.1106,84.6578,78.539,,,,,,
"3dssd_dsasa",,origin,89.231,84.6405,79.022,,,,,,
"3dssd_dsasa",,lambda0.65,89.3966,84.7691,78.888,,,,,,
"3dssd_dsasa",,lambda0.7,88.9138,84.446,78.594,,,,,,
"3dssd_dsasa",,lambda1.5,89.2155,84.6347,78.587,,,,,,
"3dssd_dsasa",,lambda2.0,88.8606,84.4986,78.46,,,,,,
"3dssd_dsasa",,,,,,,,,,,
"3dssd_dsasa",,version1,45.691,53.5648,52.487,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 1,version2,89.4615,84.6081,78.856,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 0.5,version3,89.4867,84.6606,78.808,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 0.1,version4,89.6434,84.9328,78.941,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 0.2,version5,89.364,84.5074,79.091,,,,,,
"3dssd_dsasa",,version6,88.9273,84.454,78.724,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 0.7,version7,89.5454,84.8528,78.958,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 0.4,version8,89.2267,84.474,78.698,,,,,,
"3dssd_dsasa",,version9,,,,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 0.3,version10,89.3237,84.6145,78.724,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 0.6,version11,89.8611,84.839,78.912,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 0.8,version12,89.7187,84.6593,78.924,,,,,,
"3dssd_dsasa",WEIGHT_LAMBDA: 0.9,version13,89.2161,84.5029,78.677,,,,,,
"3dssd_dsasa_use_all_backbone",,origin,89.6852,84.8436,79.033,,,,,,
"3dssd_sasa",,origin,89.0184,84.6474,78.653,,,,,,
"3dssd_sasa",,repeat1,89.122,84.5593,78.693,,,,,,
"3dssd_sasa",,repeat2,89.3866,84.6411,78.789,,,,,,
"3dssd_sasa",,lr0.005,89.2742,84.5216,78.744,,,,,,
"3dssd_sasa",,lr0.006,89.2962,84.5807,78.774,,,,,,
"3dssd_sasa",,lr0.007,89.5394,84.7821,78.86,,,,,,
"3dssd_sasa",,lr0.008,89.3946,84.427,78.671,,,,,,
"3dssd_sasa_160_epoch",,origin,89.1966,84.6095,78.819,,,,,,
"3dssd_sasa_3classes",,origin,89.639,84.0998,78.886,66.98,62.2786,57.647,89.0851,74.6052,68.574
"3dssd_sasa_3classes_no_box_noise",,origin,89.3087,84.1433,78.713,68.4519,62.2127,57.236,88.9101,74.7192,68.546
"3dssd_sasa_3classes_no_dilated",,origin,89.1731,84.3406,78.87,68.4575,62.5656,57.286,89.0771,74.9992,70.591
"3dssd_sasa_3classes_use_all",,origin,88.9685,83.9167,78.749,67.6074,61.974,57.278,88.871,74.2422,68.336
"3dssd_sasa_3classes_use_all_backbone",,origin,89.5924,84.383,79.143,67.0641,62.1669,57.495,88.5928,73.0059,67.458
"3dssd_sasa_cls_confident_point",,origin,89.3763,84.8024,78.599,,,,,,
"3dssd_sasa_cls_confident_point",,version1,88.187,77.6575,69.75,,,,,,
"3dssd_sasa_cls_confident_point",,version2,87.9127,77.6568,69.784,,,,,,
"3dssd_sasa_cls_confident_point",,version3,88.943,84.5549,78.593,,,,,,
"3dssd_sasa_cls_confident_point",,version4,89.2007,84.7205,78.719,,,,,,
"3dssd_sasa_cls_confident_point",,version5,89.179,79.5603,78.691,,,,,,
"3dssd_sasa_cls_confident_point",,version6,89.4036,84.9577,78.789,,,,,,
"3dssd_sasa_cls_confident_point",,version7,89.4399,85.0081,78.824,,,,,,
"3dssd_sasa_cls_confident_point",,version8,89.559,79.4486,78.534,,,,,,
"3dssd_sasa_cls_confident_point",,version9,89.0758,79.2583,78.259,,,,,,
"3dssd_sasa_cls_confident_point",,version10,88.8328,79.4269,78.498,,,,,,
"3dssd_sasa_cls_confident_point",,version11,89.5501,84.7477,79.117,,,,,,
"3dssd_sasa_cls_confident_point",,version11_repeat,89.5672,84.6603,78.991,,,,,,
"3dssd_sasa_cls_confident_point",,version12,89.0361,84.481,78.604,,,,,,
"3dssd_sasa_cls_confident_point",,version13,89.1266,84.4165,78.734,,,,,,
"3dssd_sasa_cls_confident_point",,version14,89.4792,84.6961,78.746,,,,,,
"3dssd_sasa_cls_confident_point",,version15,89.3816,84.5651,78.887,,,,,,
"3dssd_sasa_cls_confident_point",,version16,89.189,84.7855,78.597,,,,,,
"3dssd_sasa_cls_confident_point",,version17,89.5754,79.5185,78.434,,,,,,
"3dssd_sasa_cls_confident_point",,version18,89.0233,79.4198,78.489,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",,origin,89.4317,85.0281,78.657,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",,version1,89.1933,85.1705,78.823,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",,version2,89.4429,85.39,78.727,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",,version3,88.9787,79.5061,78.405,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",,version4,89.5305,84.9575,78.871,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",,version5,89.1195,84.7712,78.757,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",,version6,89.4572,79.6375,78.54,,,,,,
"3dssd_sasa_no_box_noise",,origin,89.108,84.3574,78.661,,,,,,
"3dssd_sasa_no_dilated",,origin,89.1268,84.6774,78.746,,,,,,
"3dssd_sasa_use_all",,origin,89.619,84.5241,78.777,,,,,,
"3dssd_sasa_use_all_backbone",,origin,89.0251,84.5768,78.683,,,,,,
"3dssd_sasa_use_all_backbone_concat",,origin,89.3578,84.5675,78.893,,,,,,
"PartA2",,origin,89.1602,79.106,78.605,65.6358,59.8215,54.462,86.9258,74.4034,69.47
"PartA2_free",,origin,89.2881,78.6983,78.133,69.9399,65.0609,59.242,86.4827,73.6697,70.126
"pointpillar",,origin,87.0736,77.4264,75.826,55.6075,51.3648,48.139,79.8974,63.3061,59.862
"pointpillar_newaugs",,origin,86.1203,76.5931,72.329,52.1187,47.5802,41.838,83.7754,67.4603,64.118
"pointpillar_pyramid_aug",,origin,86.809,77.0627,75.806,57.7992,53.103,49.16,81.6875,63.8105,60.754
"pointrcnn",,origin,88.1834,78.4285,77.5188,65.0237,59.7928,51.879,87.0038,"73.2817 ",67.366
"pointrcnn_iou",,origin,88.669,78.4604,77.958,64.1496,59.4042,52.478,87.598,73.483,70.066
"pv_rcnn",,origin,89.165,84.2134,78.623,65.391,57.841,53.376,86.9988,72.7155,69.266
"second",,origin,88.8835,78.7699,77.466,55.7679,52.4252,47.174,80.3541,67.0222,62.277
"second_iou",,origin,88.669,78.4604,77.958,64.1496,59.4042,52.478,87.598,73.483,70.066
"second_multihead",,origin,88.9216,78.7493,77.63,59.192,53.8233,49.102,82.714,69.0808,64.057
"voxel_rcnn_car",,origin,89.4754,84.2364,78.735,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
