"name",tag,car_easy,car_moderate,car_hard,pedestrian_easy,pedestrian_moderate,pedestrian_hard,cyclist_easy,cyclist_moderate,cyclist_hard
"3dssd",origin,91.2106,84.3366,81.606,,,,,,
"3dssd_320_epoch",origin,91.9609,84.9144,82.315,,,,,,
"3dssd_cls_confident_point",origin,91.6683,83.1059,80.333,,,,,,
"3dssd_cls_confident_point",version1,92.0346,84.9042,82.471,,,,,,
"3dssd_dsasa",origin,92.211,85.7317,83.017,,,,,,
"3dssd_dsasa",version1,45.2491,51.6739,49.647,,,,,,
"3dssd_dsasa",version2,92.2624,85.2943,82.534,,,,,,
"3dssd_dsasa",version3,92.4824,85.609,82.671,,,,,,
"3dssd_dsasa",version4,92.6475,85.7335,82.748,,,,,,
"3dssd_dsasa",version5,,,,,,,,,
"3dssd_sasa",origin,91.8933,85.1786,82.554,,,,,,
"3dssd_sasa",repeat1,91.7491,85.317,82.544,,,,,,
"3dssd_sasa",repeat2,92.1757,85.1414,82.453,,,,,,
"3dssd_sasa_3classes_use_all",origin,91.6245,84.6728,82.422,65.9797,61.782,55.492,92.0759,74.8547,70.321
"3dssd_sasa_3classes_use_all_backbone",origin,92.2951,85.6157,82.95,66.9468,61.7117,56.774,91.4539,73.4043,68.871
"3dssd_sasa_3classes",origin,92.3991,85.1366,82.546,67.3234,61.9959,56.665,94.0187,75.0564,70.369
"3dssd_sasa_3classes_no_box_noise",origin,92.0808,84.8737,82.425,68.7135,61.7335,55.86,93.8433,75.1412,70.194
"3dssd_sasa_3classes_no_dilated",origin,91.8687,84.9807,82.655,68.3272,62.2216,56.514,94.8368,75.7719,71.391
"3dssd_sasa_160_epoch",origin,92.0614,85.3298,82.708,,,,,,
"3dssd_sasa_cls_confident_point",origin,91.9415,85.0833,80.778,,,,,,
"3dssd_sasa_cls_confident_point",version1,91.0737,78.1136,73.065,,,,,,
"3dssd_sasa_cls_confident_point",version2,90.9246,78.0486,72.885,,,,,,
"3dssd_sasa_cls_confident_point",version3,91.5838,85.0319,82.497,,,,,,
"3dssd_sasa_cls_confident_point",version4,91.9917,85.2286,80.709,,,,,,
"3dssd_sasa_cls_confident_point",version5,92.0975,83.5814,80.783,,,,,,
"3dssd_sasa_cls_confident_point",version6,92.4183,85.3235,82.657,,,,,,
"3dssd_sasa_cls_confident_point",version7,92.3266,85.544,82.749,,,,,,
"3dssd_sasa_cls_confident_point",version8,91.9287,83.4107,80.669,,,,,,
"3dssd_sasa_cls_confident_point",version9,92.1443,83.506,80.53,,,,,,
"3dssd_sasa_cls_confident_point",version10,91.7565,83.4808,80.646,,,,,,
"3dssd_sasa_cls_confident_point",version11,92.4544,85.6192,82.998,,,,,,
"3dssd_sasa_cls_confident_point",version11_repeat,92.3825,85.4284,82.813,,,,,,
"3dssd_sasa_cls_confident_point",version12,91.974,85.1336,82.279,,,,,,
"3dssd_sasa_cls_confident_point",version13,91.8298,85.109,82.482,,,,,,
"3dssd_sasa_cls_confident_point",version14,92.4008,85.2397,82.503,,,,,,
"3dssd_sasa_cls_confident_point",version15,92.1922,85.4425,82.725,,,,,,
"3dssd_sasa_cls_confident_point",version16,91.9571,85.0802,82.273,,,,,,
"3dssd_sasa_cls_confident_point",version17,91.831,83.5093,80.665,,,,,,
"3dssd_sasa_cls_confident_point",version18,91.5448,83.4255,80.608,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",origin,92.3121,85.4089,82.735,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",version1,92.1423,85.5415,82.93,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",version2,92.5527,85.6651,82.773,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",version3,91.9095,83.6446,80.584,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",version4,92.3651,85.5128,82.645,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",version5,92.0027,85.4241,82.591,,,,,,
"3dssd_sasa_cls_confident_point_use_all_backbone",version6,92.1708,83.7817,80.791,,,,,,
"3dssd_sasa_no_box_noise",origin,92.0043,85.1567,82.489,,,,,,
"3dssd_sasa_no_dilated",origin,91.8842,85.3039,82.634,,,,,,
"3dssd_sasa_use_all",origin,91.8614,85.3166,82.551,,,,,,
"3dssd_sasa_use_all_backbone",origin,91.6818,85.1308,82.4,,,,,,
"3dssd_sasa_use_all_backbone_concat",origin,91.8454,85.3689,82.73,,,,,,
"PartA2",origin,91.583,82.6434,81.591,66.3856,59.9203,54.759,91.0426,75.0598,70.649
"PartA2_free",origin,91.5348,81.8055,79.552,71.0513,65.191,59.069,90.2894,75.6048,70.771
"pointpillar",origin,87.9343,78.6439,75.892,55.2526,50.0637,46.26,79.818,63.5737,59.442
"pointpillar_newaugs",origin,87.6068,77.6098,73.007,50.5484,45.693,39.586,87.5469,68.3137,63.769
"pointpillar_pyramid_aug",origin,87.6214,78.2804,75.639,57.8665,51.9033,47.747,83.3011,64.2847,60.512
"pointpillar_without_aug",origin,88.9623,78.6399,75.774,56.6113,51.3444,46.349,83.643,65.0164,60.791
"pointrcnn",origin,89.3801,80.3913,78.0311,66.4553,58.7092,51.415,92.5868,74.2618,69.706
"pointrcnn_aug",origin,91.3501,80.3738,77.941,67.0883,59.5897,51.299,92.2753,74.1909,69.559
"pointrcnn_iou",origin,91.324,80.3219,78.115,66.7715,58.9397,51.984,92.833,74.6016,69.866
"pointrcnn_iou_aug",origin,89.2777,80.2723,78.127,65.4939,58.4903,51.726,93.0781,73.3627,68.776
"pointrcnn_only_car",origin,90.5837,81.8971,79.773,,,,,,
"pv_rcnn",origin,91.9376,84.6785,82.328,65.1953,57.0208,52.06,91.2484,73.9407,69.564
"second",origin,90.737,81.796,78.848,55.7615,50.8746,46.353,83.9577,67.1223,62.593
"second_iou",origin,91.324,80.3219,78.115,66.7715,58.9397,51.984,92.833,74.6016,69.866
"second_multihead",origin,90.5502,81.841,79.041,58.032,52.3125,47.926,85.2521,69.717,65.397
"voxel_rcnn_car",origin,92.2399,84.9786,82.478,,,,,,
